GEOID,MedIncome,MedIncome_moe,TotalPop,TotalPop_moe
240054001001,94167,20384,1461,294
240054001002,47361,8775,1274,223
240054001003,36708,6702,1827,656
240054002001,67986,18353,1354,244
240054002002,91029,10732,1088,169
240054004001,81136,76728,901,241
240054004002,115441,26983,1346,323
240054004003,121738,33907,1255,306
240054004004,141641,87465,571,224
240054004005,115083,22251,1611,288
240054005001,146364,14473,2686,124
240054006001,88583,20872,673,228
240054006002,74429,19790,1419,349
240054006003,128750,47485,957,264
240054007011,87083,21662,1367,232
240054007012,64167,17107,1542,221
240054007021,93750,17701,2002,241
240054008001,76806,34274,1857,300
240054008002,69167,27461,923,226
240054009001,72813,14478,1992,195
240054010001,63816,10427,1129,205
240054010002,148750,34053,1378,168
240054011011,68185,10281,1858,553
240054011012,66238,11103,1502,322
240054011013,63939,16572,1840,586
240054011014,60815,40960,477,242
240054011021,53454,9889,910,108
240054012001,62303,12489,1319,308
240054012002,85387,10806,1742,341
240054013011,52557,10257,1646,355
240054013012,70473,25002,927,273
240054013013,59904,19004,1340,311
240054013021,47724,5438,2121,268
240054013022,71765,12265,624,202
240054014001,123214,19773,1645,78
240054015031,124375,26394,1724,335
240054015032,101033,28520,1245,289
240054015033,105697,17857,1108,257
240054015034,84250,24954,803,187
240054015035,95065,21499,1460,293
240054015041,78684,16629,2049,479
240054015042,79189,16658,2572,510
240054015043,94188,28482,1759,498
240054015051,55192,44402,1073,291
240054015052,63859,10152,1813,281
240054015053,85500,26187,1442,475
240054015061,69102,32644,1266,413
240054015062,79415,14843,2382,401
240054015063,63450,18196,1455,324
240054015071,93077,43142,1264,528
240054015072,59473,18602,2694,652
240054015073,50100,13932,809,328
240054015074,56829,7318,1175,492
240054022011,92386,22518,1856,283
240054022012,100395,47638,1648,374
240054022021,128125,14242,1551,126
240054023021,86974,12300,2169,445
240054023022,74250,20385,3383,495
240054023031,62292,19549,1167,405
240054023032,90341,24501,1233,395
240054023033,83313,46518,1618,535
240054023034,56591,39941,1788,616
240054023035,82014,30323,1297,373
240054023041,51278,11128,1569,332
240054023042,88113,11634,932,308
240054023043,62125,30792,1066,286
240054023051,96250,24542,816,163
240054023052,46579,9029,1229,215
240054023061,49653,11538,2778,267
240054023062,49615,20331,1244,358
240054023071,55019,22855,1676,650
240054023072,69625,11931,2147,482
240054023073,68872,27778,2438,574
240054024031,55956,9388,864,199
240054024032,76016,17939,1170,175
240054024041,53715,16869,1694,382
240054024042,55046,8303,1914,543
240054024043,48232,14567,1760,666
240054024051,70313,26637,892,299
240054024052,52757,13211,2766,394
240054024061,61351,8078,909,363
240054024062,63917,7395,1800,443
240054024063,83020,15192,2989,623
240054024071,85694,20422,674,161
240054024072,30167,16164,664,130
240054025031,46981,10113,2456,471
240054025032,93287,16492,1177,209
240054025033,42522,21622,1512,353
240054025041,85709,22411,2346,494
240054025042,105962,48229,2250,534
240054025051,82462,30553,1144,409
240054025052,51385,13897,2542,424
240054025061,80943,6280,2105,411
240054025062,108358,8681,2408,455
240054025091,104396,15967,3447,604
240054025092,92500,15474,3704,630
240054025093,71194,10117,2968,584
240054026021,68050,22401,1111,224
240054026022,82708,20821,1136,195
240054026031,120990,25899,2316,722
240054026032,120735,52059,2053,429
240054026033,90172,23284,1935,728
240054026041,84474,21769,2087,422
240054026042,87099,13859,3262,647
240054026043,110446,32479,776,349
240054031001,70500,16223,1147,192
240054031002,77644,19528,1306,191
240054032011,81354,16991,2684,356
240054032012,68409,15321,733,222
240054032021,71488,9906,2103,185
240054033001,108466,9575,805,166
240054033002,74485,16630,1713,182
240054034011,60132,14703,2204,305
240054034012,79306,3510,1300,253
240054034021,41818,19102,1816,668
240054034022,68359,34417,1521,333
240054034023,NA,NA,651,444
240054034024,51808,16157,1634,552
240054035001,100208,24044,1558,201
240054035002,86494,18713,2367,240
240054035003,114470,10095,1077,302
240054036011,75083,16361,1079,213
240054036012,124722,32153,996,223
240054036013,71204,13567,2627,262
240054036021,79417,13202,2590,421
240054036022,119242,23932,3177,439
240054037011,68634,12023,2137,383
240054037012,156953,43171,737,164
240054037013,59464,20732,1055,312
240054037014,147619,70235,911,227
240054037015,81034,7492,2232,349
240054037021,93059,25473,2312,393
240054037022,66696,20774,2415,527
240054038011,192188,54906,1648,171
240054038021,188472,36898,1547,246
240054038022,156736,47198,1299,254
240054038031,82768,11561,2419,245
240054038032,125994,17812,1023,220
240054041011,127200,21963,1683,252
240054041012,90515,10086,4495,490
240054041021,81622,21450,3151,657
240054041022,53798,16527,2882,764
240054042011,56830,21677,3251,589
240054042012,86964,37378,1211,379
240054042013,118083,49612,1500,409
240054042021,67036,26138,2773,617
240054042022,67941,18048,1352,389
240054042023,49432,13452,3046,597
240054042024,41623,12589,1580,456
240054044021,117448,40155,1123,287
240054044022,72083,20433,2626,512
240054044023,138750,20796,2739,461
240054044031,73125,20451,1409,313
240054044032,48036,5758,3682,536
240054044041,63350,18143,2455,309
240054044042,99074,19452,2513,305
240054045011,77571,20766,1845,412
240054045012,59302,12432,973,324
240054045013,122574,50300,979,293
240054045014,70744,11189,3210,643
240054045021,57440,8997,1664,315
240054045022,88000,15554,698,155
240054045023,43462,17304,1543,458
240054046001,117042,9700,1888,230
240054046002,84698,57869,918,184
240054048001,133750,29077,1124,117
240054048002,133375,58310,830,108
240054049001,124226,27241,2237,233
240054049002,166908,18036,1185,178
240054049003,162813,31967,865,187
240054050001,112458,8693,2867,230
240054050002,106083,20075,1563,252
240054060001,97917,25802,1465,422
240054060002,94681,38590,1198,341
240054060003,131544,30393,1417,320
240054060004,115588,20774,1681,321
240054070011,89353,13517,1447,163
240054070012,97875,23491,1608,189
240054070021,119500,49656,2079,331
240054070022,99444,17564,2122,304
240054070023,122396,27657,1441,207
240054081001,173750,33743,1111,270
240054081002,158421,95372,753,274
240054081003,75231,22654,1911,372
240054081004,147667,59552,1894,356
240054082001,163750,35577,888,144
240054082002,132313,37799,975,177
240054083021,225156,169019,745,169
240054083022,115268,27496,2038,192
240054083031,184188,70734,1935,222
240054083032,169716,55944,1360,261
240054083041,76458,17381,3246,444
240054083042,91083,65203,1159,259
240054083043,106000,58939,821,212
240054084001,72000,15857,953,122
240054085021,80938,16283,2605,632
240054085022,102188,37687,1297,257
240054085023,124256,11624,1326,278
240054085031,72701,11021,1975,234
240054085032,72933,23367,1708,389
240054085051,116176,8645,2050,227
240054085052,82115,8729,1681,200
240054085061,35556,11293,2426,449
240054085062,48558,10098,2817,626
240054085071,68268,3343,2026,413
240054085072,44559,16570,2866,648
240054085073,73895,28733,2022,552
240054086011,123750,22146,1175,183
240054086012,109531,38516,777,179
240054086013,103098,18267,995,207
240054086014,93500,8024,1035,304
240054086021,106375,11283,1248,125
240054086022,113906,31516,853,108
240054087021,88875,25682,1715,211
240054087022,165511,46330,681,143
240054087031,161934,32576,1379,451
240054087032,96313,27115,2716,547
240054087033,120625,16813,897,261
240054087034,66799,14222,1589,337
240054087041,106000,34428,2215,377
240054087042,132596,65531,2183,413
240054087043,129219,97165,1314,345
240054088001,83777,11282,1168,231
240054088002,108542,31392,1327,285
240054089001,96420,25374,1358,207
240054089002,137857,19050,1297,209
240054101001,134556,19309,636,198
240054101002,133750,44755,808,218
240054101003,192764,55951,2239,516
240054101004,100139,55295,1909,314
240054102001,127969,33684,1697,241
240054102002,145625,33845,1797,272
240054102003,167813,27815,1404,187
240054111011,116528,14918,2178,100
240054111021,109688,32565,1030,241
240054111022,71750,32955,532,146
240054111023,124205,27034,1548,204
240054112011,142375,36338,961,144
240054112012,140781,64205,732,134
240054112013,121250,47392,672,137
240054112014,135250,26330,798,152
240054112021,158125,52261,1648,258
240054112022,90875,36955,1345,276
240054112023,110735,42933,958,205
240054113021,108542,23148,3804,305
240054113031,58324,20017,1987,541
240054113032,101447,29670,1271,311
240054113033,69931,18965,1928,425
240054113034,95581,23164,1108,260
240054113061,80025,20906,1233,318
240054113062,91786,29673,2517,408
240054113063,108309,36307,1467,427
240054113071,83427,6651,2003,320
240054113072,77500,19710,1770,303
240054113081,76887,18090,1130,251
240054113082,120677,51735,560,161
240054113083,89063,17493,1691,268
240054113091,98958,55995,2234,442
240054113092,93237,19400,3839,450
240054113093,149023,24142,2915,404
240054114041,108581,14102,2835,282
240054114042,67656,42874,761,210
240054114061,123125,22193,1542,250
240054114062,62101,6629,1362,201
240054114063,83269,20956,1215,184
240054114071,67426,40182,1288,556
240054114072,39904,10721,3558,628
240054114073,90909,40050,1589,644
240054114074,83495,22198,3384,1224
240054114075,51387,9199,913,513
240054114081,85284,29529,1126,232
240054114082,55756,10696,1875,278
240054114083,90909,23812,685,202
240054114091,112813,13852,1079,175
240054114092,104539,10067,2166,253
240054114093,103684,13643,1866,265
240054114101,124300,26264,1064,240
240054114102,87436,9412,1496,280
240054114103,85152,27291,2075,335
240054201001,61366,5925,1607,299
240054201002,59609,9688,1210,348
240054201003,54524,9206,839,252
240054202001,68292,11704,1472,287
240054202002,56563,28595,1257,298
240054203011,51875,7606,2459,256
240054203021,67946,21108,1016,260
240054203022,67727,7439,1499,290
240054203031,57188,20075,1268,130
240054204011,59926,19818,1375,666
240054204012,56884,9477,3578,874
240054204013,59963,13406,591,400
240054204014,52151,8350,1043,575
240054204021,59129,3490,944,176
240054204022,57500,23656,968,202
240054205001,54130,8712,1847,287
240054205002,53934,7822,1643,362
240054206001,53409,8942,2652,538
240054206002,74583,44173,767,268
240054206003,52917,12664,1000,313
240054207011,47300,9366,3200,397
240054207021,42422,8593,1975,218
240054208001,38864,12534,820,216
240054208002,62031,10818,1070,250
240054208003,51023,20328,1126,289
240054209001,75682,44414,1640,311
240054209002,39563,19037,885,213
240054209003,35409,5363,944,285
240054210001,25208,6719,1814,203
240054211011,46136,10710,1592,387
240054211012,49042,15851,1354,255
240054211021,70714,13271,1541,200
240054211022,53897,9611,1056,188
240054212001,51000,7718,893,178
240054212002,61905,25393,797,174
240054213001,50901,7564,938,370
240054213002,26827,6997,1032,266
240054213003,44518,14365,1211,363
240054301011,40888,5292,2893,516
240054301012,55170,10044,2091,415
240054301041,101333,16364,1314,287
240054301042,71447,9922,1661,288
240054302001,26897,8529,733,234
240054302002,66875,27508,1206,277
240054302003,NA,NA,714,246
240054303001,36250,15779,1515,398
240054303002,39917,28065,1643,463
240054303003,42803,13895,830,232
240054303004,26758,11827,1930,505
240054304001,84615,7440,1322,295
240054304002,73942,19814,1316,263
240054304003,89663,12021,1650,307
240054306001,104931,8539,1573,155
240054306002,105167,12412,771,167
240054307001,97941,26886,918,267
240054307002,93676,10756,2459,441
240054307003,95275,19167,1922,381
240054308001,59336,16778,1063,243
240054308002,54781,14396,835,212
240054308003,118523,47254,1578,314
240054309001,54944,14041,2429,612
240054309002,31625,6303,1225,567
240054309003,40179,22330,1198,354
240054401001,61833,18874,1367,266
240054401002,93611,19858,1360,348
240054401003,71125,21133,780,178
240054401004,73913,13253,1044,297
240054402001,66146,12957,941,229
240054402002,59525,6992,1473,167
240054403001,55192,12531,1976,179
240054404001,73397,21123,1880,739
240054404002,76786,17604,622,250
240054404003,89104,11350,1540,486
240054404004,60075,19712,1320,445
240054405001,77450,11940,2595,305
240054405002,62500,18382,749,247
240054406001,109375,11810,2259,112
240054407011,58548,7607,2224,863
240054407012,70712,9269,3737,979
240054407013,52122,30953,1470,367
240054407021,68411,26006,2524,472
240054407022,62031,19317,1859,385
240054408001,58866,16477,3320,272
240054409001,74722,11895,1803,333
240054409002,75246,13502,2101,286
240054410001,76298,19595,1815,405
240054410002,54268,13372,1990,466
240054411011,69091,35247,1302,231
240054411012,59375,11270,793,142
240054411021,77016,17363,1077,291
240054411022,53160,15701,1060,283
240054411023,85938,18244,772,199
240054411024,58036,10979,1974,420
240054501001,107708,15435,1867,391
240054501002,75357,38197,1057,256
240054501003,26595,13227,922,227
240054502001,79722,17342,1490,236
240054502002,51250,16572,772,208
240054502003,55917,23856,948,252
240054503001,49455,10969,2028,308
240054503002,54306,17916,1134,237
240054504001,87292,15551,668,171
240054504002,68333,17660,1644,182
240054505011,48889,16911,1442,354
240054505012,58750,14799,1650,341
240054505013,44228,7893,1190,263
240054505031,33693,20689,823,288
240054505032,58807,3713,3103,661
240054505033,48750,19795,2456,600
240054505041,41786,14634,529,323
240054505042,39856,15321,2813,742
240054505043,33668,10982,2476,697
240054508001,28553,12692,732,135
240054508002,53148,8834,2861,381
240054508003,38750,6352,510,217
240054509001,78681,24067,1315,215
240054509002,83160,11048,2851,288
240054510001,90000,23183,948,116
240054510002,90536,28381,688,111
240054511001,78750,39590,2285,221
240054512001,105149,16960,1753,237
240054512002,51354,17225,2060,264
240054513001,55658,18873,2897,509
240054513002,45194,9045,1092,260
240054514011,55682,31832,2081,471
240054514012,103106,23346,1798,588
240054514021,51422,19482,1249,351
240054514022,58229,27876,1076,446
240054514023,48750,14121,2800,563
240054515001,54957,11480,1482,319
240054515002,54356,34269,1186,436
240054515003,77344,38129,1260,518
240054516001,58636,17553,674,108
240054516002,60000,6172,1311,202
240054517011,101538,12937,2496,339
240054517012,64531,32022,1326,282
240054517021,73030,7820,823,148
240054517022,85750,15744,1095,182
240054518011,73393,35536,589,215
240054518012,79808,33885,1688,423
240054518013,88375,23649,1333,376
240054518014,29270,23317,1979,634
240054518021,98000,8320,1261,213
240054518022,100875,21594,1048,186
240054518023,42188,10978,1603,339
240054518031,81163,6685,2183,326
240054518032,61277,10296,2272,284
240054519001,78036,16127,592,214
240054519002,99688,18961,847,203
240054519003,69286,14309,1081,203
240054520001,108646,39475,1077,222
240054520002,60214,12981,1584,270
240054521001,77000,44855,1712,286
240054521002,75744,33800,1052,274
240054521003,71719,35066,563,208
240054523001,42303,19036,1612,509
240054523002,50885,18816,1442,375
240054524001,54375,31118,992,270
240054524002,71944,11032,2218,311
240054525001,53681,10327,735,156
240054525002,52601,6524,2260,308
240054525003,61250,18913,711,197
240054901001,146250,17673,1659,179
240054901002,146389,37732,776,123
240054901003,146176,25697,1428,199
240054902001,119659,26667,888,225
240054902002,123750,19214,1030,214
240054902003,118750,16105,943,211
240054903011,63438,12287,2259,465
240054903012,32438,8825,2840,450
240054903013,55707,10575,2315,362
240054903021,71917,13520,1185,195
240054903022,78438,22627,3597,434
240054904001,139500,66349,1130,168
240054904002,206932,34691,713,115
240054905001,161042,34978,915,220
240054905002,192778,47883,1534,244
240054905003,113281,18885,1212,162
240054906011,126563,25981,1058,131
240054906012,104432,12693,1108,128
240054906021,113889,21927,1218,196
240054906022,73438,16106,1731,211
240054906031,93684,16247,1496,147
240054906032,137500,26817,776,143
240054906051,11190,3375,2831,375
240054906052,NA,NA,2271,283
240054907011,104583,25035,1665,139
240054907031,86364,16054,1805,341
240054907032,92083,29605,1410,264
240054908001,103500,50405,1201,203
240054908002,92188,25144,2081,238
240054909001,69722,41728,1692,328
240054909002,57014,26352,2191,423
240054909003,46359,39833,452,169
240054910001,122292,62528,1075,150
240054910002,170313,36586,1196,127
240054911001,120982,36543,1294,262
240054911002,55114,21666,1559,258
240054911003,131346,46207,1006,177
240054912011,83036,24883,1013,175
240054912012,93333,16043,584,96
240054912021,74444,17784,1242,129
240054912022,86500,10942,655,107
240054913001,115987,22171,1596,314
240054913002,41581,17642,2008,362
240054914011,48224,18474,949,345
240054914012,NA,NA,1895,528
240054914013,38229,7820,2633,540
240054914021,54219,18655,1440,272
240054914022,55556,31827,1482,280
240054915001,83142,14315,1241,294
240054915002,79231,16820,1233,294
240054915003,63083,23312,1896,377
240054916001,49850,14252,819,337
240054916002,46818,23022,1214,317
240054916003,74353,1776,1278,476
240054917011,67344,15811,1227,207
240054917012,65260,3466,1650,279
240054917013,96786,25807,1151,230
240054919001,67813,9055,1010,164
240054919002,63036,13315,822,138
240054920011,58542,5751,861,166
240054920012,52500,9684,478,96
240054920021,81484,16922,780,214
240054920022,96615,8965,972,218
240054920023,67708,18456,921,228
240054920024,82500,32079,1138,193
240054921011,54138,8106,577,150
240054921012,57449,7741,1059,202
240054921013,67500,37634,932,281
240054921014,72173,9880,1145,333
240054921021,88508,13042,1059,289
240054921022,72431,14604,1080,194
240054922001,97974,24829,1285,374
240054922002,63371,7060,2482,318
240054922003,50625,8530,1087,322
240054923001,53333,9335,1538,500
240054923002,72102,27240,2692,352
240054924011,83947,14257,1559,317
240054924012,96818,26516,2058,260
240054924021,73906,18163,3229,615
240054924022,81424,14540,2924,655
240054925001,NA,NA,2561,467
240054925002,NA,NA,356,203
240054926001,NA,NA,103,41
240054926002,70469,39194,1366,306
240054926003,65558,4053,2299,293
240059800001,NA,NA,0,12
240059801001,NA,NA,0,12
240059802001,NA,NA,0,12
245100101001,135000,17444,1133,174
245100101002,97763,15344,814,147
245100101003,96218,25833,1075,263
245100102001,96542,14442,810,203
245100102002,92981,15978,525,141
245100102003,133816,25011,1128,215
245100102004,113875,21581,406,112
245100103001,140156,18090,929,171
245100103002,138250,28974,1642,206
245100104001,89688,31647,814,180
245100104002,124229,31639,1664,299
245100105001,147857,37075,958,205
245100105002,81774,13022,1018,268
245100201001,72917,22800,687,142
245100201002,97222,18602,1026,157
245100202001,73938,7334,677,108
245100202002,125833,6567,1158,228
245100203001,73986,25620,1539,421
245100203002,110114,73944,1074,272
245100203003,134800,37270,1264,274
245100301001,18855,6030,1406,402
245100301002,30375,28319,1290,384
245100302001,37393,14173,1237,245
245100302002,114563,35466,1090,197
245100401001,71800,11417,2146,358
245100401002,59669,4071,2258,465
245100402001,34375,12739,901,237
245100601001,20577,8653,606,327
245100601002,41047,14880,1072,388
245100601003,112969,70353,680,247
245100601004,49931,48005,616,290
245100602001,55689,21266,441,343
245100602002,107344,10247,608,186
245100602003,66167,14386,922,396
245100602004,92813,37412,848,345
245100602005,NA,NA,422,238
245100603001,42417,20510,847,214
245100603002,85781,23952,1018,141
245100604001,56042,16833,526,166
245100604002,54219,13421,850,131
245100701001,43125,12630,1240,347
245100701002,31384,16205,1325,297
245100702001,NA,NA,620,392
245100702002,21964,19879,547,251
245100702003,24432,9362,893,377
245100702004,38667,38075,571,259
245100702005,42201,20973,397,154
245100703001,30972,10642,533,209
245100703002,NA,NA,323,165
245100704001,36250,21811,330,104
245100704002,14856,12360,384,138
